visitorId,department
000183edb6cc25dd0da6e9f97d63a09dac4a42d4,samsung
000183edb6cc25dd0da6e9f97d63a09dac4a42d4,celulares e telefones
000183edb6cc25dd0da6e9f97d63a09dac4a42d4,smartphones
0002f9b43f2558eca744807ff167bd618f7ce9f1,carregadores
0002f9b43f2558eca744807ff167bd618f7ce9f1,acessorios para celular
0002f9b43f2558eca744807ff167bd618f7ce9f1,celulares e telefones
001a4d3c46a544b63a25cd0894a2e935666c9cca,tv e video
001a4d3c46a544b63a25cd0894a2e935666c9cca,escolha por marca
001dcf2628b4e9f2abb1c002cfc968bec7549c6c,eletrodomesticos
002e902756b618d1d34a70b1eaa1d1e54d49c0cf,celulares e telefones
003055550633dc6fbe1fd8a188883c52b22c78e0,ar e ventilacao
003055550633dc6fbe1fd8a188883c52b22c78e0,ar condicionado split
003055550633dc6fbe1fd8a188883c52b22c78e0,12000 btus
003eff6fb79cb0b6676c369861216783a97f859f,beleza e saude
003eff6fb79cb0b6676c369861216783a97f859f,maquina de cortar cabelo
003eff6fb79cb0b6676c369861216783a97f859f,cuide de seu cabelo
004b1a058d00fd66dc68a44ea39c2eaa101a4977,cama box
004b1a058d00fd66dc68a44ea39c2eaa101a4977,colchoes
004b1a058d00fd66dc68a44ea39c2eaa101a4977,queen
005f42a64319b37da7371b99cdfb7eb8081e263f,forno
005f42a64319b37da7371b99cdfb7eb8081e263f,forno embutir
005f42a64319b37da7371b99cdfb7eb8081e263f,eletrodomesticos
00642f1224ba7a75cd7a6ce57e2ded27be114c06,tv
00642f1224ba7a75cd7a6ce57e2ded27be114c06,tv e video
00642f1224ba7a75cd7a6ce57e2ded27be114c06,de 39 a 43
006bdec7a0357c46e854ffd00668bf078c6fb0b1,fogao
006bdec7a0357c46e854ffd00668bf078c6fb0b1,fogao piso 4 bocas
006bdec7a0357c46e854ffd00668bf078c6fb0b1,eletrodomesticos
006cda6a4b647d396c5a77d3a1f7aa1a7f4627de,tv e video
006cda6a4b647d396c5a77d3a1f7aa1a7f4627de,tipo de tv
006cda6a4b647d396c5a77d3a1f7aa1a7f4627de,tv led
006cda6a4b647d396c5a77d3a1f7aa1a7f4627de,home theater
00726dd14f6f52853aa94868edf91dc46eb716d5,instrumentos musicais
00726dd14f6f52853aa94868edf91dc46eb716d5,ukulele
00726dd14f6f52853aa94868edf91dc46eb716d5,instrumentos de corda
007ae3c96dd28389c7ab6aa9a96c1269ed0d6e93,caixas bluetooth
007ae3c96dd28389c7ab6aa9a96c1269ed0d6e93,audio
00a4f7b836f7e863fe5592084f4f3844bc9adf04,celulares e telefones
00bee90868772f1896b3d1dfdc40b730a3236feb,informatica
00bee90868772f1896b3d1dfdc40b730a3236feb,monitores
00c3f0883063c7df6b2d20ffe971b75a3955977a,chuveiros e duchas
00c3f0883063c7df6b2d20ffe971b75a3955977a,casa e ferramentas
00c3f0883063c7df6b2d20ffe971b75a3955977a,casa
00c3f89f5b734a2d73a3443e1dc115fc3caa05f9,roteador e acess point
00c3f89f5b734a2d73a3443e1dc115fc3caa05f9,acessorios de informatica
00c3f89f5b734a2d73a3443e1dc115fc3caa05f9,rede e conexao sem fio
00d3533ceccd036a1ee5756a068144d7ab37473b,tv e video
00d3533ceccd036a1ee5756a068144d7ab37473b,conversor digital
00d3533ceccd036a1ee5756a068144d7ab37473b,acessorios para tv
